WOS_manner_initials	frequency
P	13344
S	10478
F	8454
V	7757
P-S	4883
F-P	1877
F-S	1726
A	1344
F-P-S	777
F-F	428
P-F	253
P-S-P	166
S-S	150
P-S-F	145
F-S-P	95
A-F	95
P-S-F-P	84
P-S-S	67
F-P-S-P	57
A-S-S	52
F-S-F	51
F-P-S-F	49
F-A	47
F-S-S	47
A-S	46
A-S-F	46
A-P	44
P-S-P-S	39
S-P	35
P-A	31
P-S-F-S	31
F-F-S	28
S-S-F	27
F-S-S-P	26
P-S-A	25
F-S-A	25
A-S-P	25
P-P	23
F-P-S-P-S	23
F-P-S-S	23
F-F-S-F	20
S-F	20
F-S-S-P-S	19
S-S-P	18
F-S-P-S	17
F-F-S-P	16
P-S-A-P	16
P-S-A-S	16
F-P-F	15
F-P-S-F-S	15
A-P-S	15
P-F-S-P	14
S-S-P-F	13
A-F-S-P	11
F-F-S-P-S	11
A-S-P-F	11
P-S-S-P	11
A-S-A	11
F-P-S-A	11
S-S-F-S	10
S-F-S	10
S-F-P	10
S-P-S	10
P-S-S-S	9
F-P-S-F-P	8
F-A-S-F	8
F-S-F-P	8
F-P-S-A-S	7
P-S-S-A	7
F-S-S-S	7
A-F-S-P-S	7
F-S-A-P	7
A-P-S-P	7
F-S-S-F-S	6
S-S-S	6
F-P-F-S-P-S	6
F-S-S-F-P	6
F-F-S-F-S	5
A-F-S-A-S	5
A-S-P-S	5
A-F-S-A	5
S-S-P-S	5
F-P-S-S-S	5
F-S-F-S	5
F-P-S-A-P	5
P-S-P-P	4
F-S-P-F	4
A-S-F-S	4
F-S-P-P	4
A-S-S-P	4
F-S-S-F	4
S-S-A-P	4
A-F-S-F-P	4
F-A-S-P	3
F-P-S-P-P	3
A-S-S-A	3
A-S-A-S	3
S-A-P	3
F-S-S-A	2
A-S-P-P	2
F-F-P-S	2
S-S-A-S	2
A-F-S-A-P	2
A-P-S-P-S	2
F-S-F-A	2
A-P-S-P-P	2
P-S-P-A	2
S-A	2
F-P-P	1
F-P-S-P-A	1
P-S-F-A	1
S-F-A	1
S-S-F-P	1
F-F-S-F-P	1
F-S-P-A	1
P-F-S	1
A-P-S-S-P	1
A-S-F-A	1
S-S-S-P	1
F-A-S	1
F-S-S-A-P	1
A-S-P-A	1
F-S-A-F	1
F-P-S-S-A	1
F-S-A-S	1
S-S-P-P	1
S-S-A	1